state,x,y
Andhra Pradesh,-72.0, -69.0
Arunachal Pradesh,262.0, 89.0
Assam,235.0, 58.0
Bihar,75.0, 50.0
Chhattisgarh,-10.0, -1.0
Goa,-221.0, -9.0
Gujarat,-250.0, 23.0
Haryana,-131.0, 90.0
Himachal Pradesh,-114.0, 122.0
Jharkhand,65.0, 27.0
Karnataka,-162.0, -71.0
Kerala,-153.0, -113.0
Madhya Pradesh,-91.0, 21.0
Maharashtra,-177.0, -18.0
Manipur,258.0, 48.0
Meghalaya,199.0, 53.0
Mizoram,239.0, 25.0
Nagaland,300,120
Odisha,45.0, -10.0
Punjab,-163.0, 112.0
Rajasthan,-202.0, 70.0
Sikkim,135.0, 79.0
Tamil Nadu,-101.0, -117.0
Telangana,-79.0, -37.0
Tripura,205.0, 34.0
Uttar Pradesh,-46.0, 62.0
Uttarakhand,-67.0, 104.0
West Bengal,128.0, 26.0
Andaman and Nicobar Islands,244.0, -100.0
Chandigarh,-133.0, 108.0
Dadra and Nagar Haveli and Daman and Diu,-224.0, -19.0
Delhi,-114.0, 84.0
Jammu and Kashmir,-169.0, 144.0
Ladakh,-89.0, 151.0
Lakshadweep,-234.0, -112.0
Puducherry,-60.0, -101.0
